Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory
460,0,0,0,0,46.4,0,2.6,0,18.1,0,0,2.3
465,0,0,0,0,45.9,0,2.6,0,18,0,0,2.3
470,0,0,0,0,45.5,0,2.6,0,17.8,0,0,2.3
475,0,0,0,0,45.1,0,2.6,0,17.6,0,0,2.3
480,0,0,0,0,44.6,0,2.7,0,17.4,0,0,2.3
485,0,0,0,0,45,0,2.7,0,17.3,0,0,2.4
490,0,0,0,0,45.4,0,2.7,0,17.1,0,0,2.4
495,0,0,0,0,45.9,0,2.7,0,16.9,0,0,2.4
500,0,0,0,0,46.3,0,2.7,0,16.7,0,0,2.4
505,0,0,0,0,46.5,0,2.7,0,16.9,5.1,0,2.5
510,0,0,0,0,46.4,0,2.7,0,17.2,5.1,0,2.5
515,0,0,0,0,46.4,0,2.7,0,17.4,5.1,0,2.6
520,0,0,0,0,46.5,0,2.7,0,17.7,5.1,0,2.6
525,0,0,0,0,46.5,0,2.7,0,18,5.1,0,2.6
530,0,0,0,0,46.4,0,2.7,0,18.3,5.1,0,2.6
535,0,0,0,0,46.8,0,2.7,0,18.1,0,0,2.7
540,0,0,0,0,47.2,0,2.7,0,17.9,0,0,2.7
545,0,0,0,0,47.4,0,2.7,0,17.8,0,0,2.7
550,0,0,0,0,47,0,2.7,0,17.6,0,0,2.7
555,0,0,0,0,46.6,0,2.7,0,17.5,0,0,2.7
560,0,0,0,0,46.2,0,2.7,0,17.3,0,0,2.8
565,0,0,0,0,45.8,0,2.7,0,17.2,0,0,2.8
570,0,0,0,0,45.4,0,2.7,0,17.1,0,0,2.8
575,0,0,0,0,45.3,0,2.7,0,16.9,0,0,2.9
580,0,0,0,0,45.7,0,2.7,0,16.8,0,0,2.9
585,0,0,0,0,46,0,2.7,0,16.6,0,0,2.9
590,0,0,0,0,46.1,0,2.7,0,16.8,3.5,0,2.9
595,0,0,0,0,46.1,0,2.7,0,17,3.5,0,3
600,0,0,0,0,46.1,0,2.7,0,17.3,3.5,0,3
605,0,0,0,0,46.1,0,2.7,0,17.5,3.5,0,3.1
610,0,0,0,0,46.1,0,2.7,0,17.8,3.5,0,3.1
615,0,0,0,0,46.1,0,2.7,0,18,3.5,0,3.2
620,0,0,0,0,46.1,0,2.7,0,18.3,3.8,0,3.2
625,0,0,0,0,46.1,0,2.7,0,18.4,0,0,3.2
630,0,0,0,0,46.4,0,2.7,0,18.2,0,0,3.3
635,0,0,0,0,46.8,0,2.7,0,18.1,0,0,3.3
640,0,0,0,0,46.6,0,2.7,0,18,0,0,3.3
645,0,0,0,0,46.3,0,2.7,0,17.8,0,0,3.3
650,0,0,0,0,45.9,0,2.7,0,17.7,0,0,3.4
655,0,0,0,0,45.6,0,2.7,0,17.6,0,0,3.4
660,0,0,0,0,45.3,0,2.7,0,17.5,0,0,3.5
665,0,0,0,0,44.9,0,2.8,0,17.3,0,0,3.5
670,0,0,0,0,44.8,0,2.8,0,17.2,0,0,3.5
675,0,0,0,0,45.1,0,2.8,0,17.1,0,0,3.5
680,0,0,0,0,45.4,0,2.8,0,17,0,0,3.5
685,0,0,0,0,45.7,0,2.8,0,16.8,0,0,3.6
690,0,0,0,0,45.9,0,2.8,0,16.9,4.8,0,3.6
695,0,0,0,0,45.9,0,2.8,0,17.1,4.8,0,3.7
700,0,0,0,0,45.9,0,2.8,0,17.3,4.8,0,3.7
705,0,0,0,0,45.9,0,2.8,0,17.5,4.8,0,3.8
710,0,0,0,0,45.9,0,2.8,0,17.7,4.8,0,3.8
715,0,0,0,0,45.9,0,2.8,0,17.9,4.8,0,3.8
720,0,0,0,0,46.2,0,2.8,0,17.8,0,0,3.8
725,0,0,0,0,45.9,0,2.8,0,17.7,0,0,3.8
730,0,0,0,0,45.7,0,2.8,0,17.6,0,0,3.9
735,0,0,0,0,45.4,0,2.8,0,17.5,0,0,3.9
740,0,0,0,0,45.1,0,2.8,0,17.4,0,0,4
745,0,0,0,0,44.8,0,2.8,0,17.3,0,0,4
750,0,0,0,0,44.5,0,2.8,0,17.2,0,0,4
755,0,0,0,0,44.3,0,2.8,0,17.1,0,0,4
760,0,0,0,0,44.2,0,3,0,16.9,0,0,4.1
765,0,0,0,0,44.2,0,3.3,0,16.8,0,0,4.1
770,0,0,0,0,44.2,0,3.6,0,16.7,0,0,4.1
775,0,0,0,0,44.3,0,3.9,0,16.6,0,0,4.1
780,0,0,0,0,44.3,0,4.2,0,16.5,0,0,4.1
785,0,0,0,0,44.3,0,4.5,0,16.4,0,0,4.1
790,0,0,0,0,44.3,0,4.7,0,16.2,0,0,4.2
795,0,0,0,0,44.3,0,5,0,16.2,3.1,0,4.2
