Time,APM1%CPU,APM1%MEM,APM2%CPU,APM2%MEM,APM3%CPU,APM3%MEM,APM4%CPU,APM4%MEM,APM5%CPU,APM5%MEM,APM6%CPU,APM6%MEM,
305,0.0,0.0,0.0,0.0,39.5,0.0,2.4,0.0,18.7,0.0,0.0,3.0,
310,0.0,0.0,0.0,0.0,40.2,0.0,2.4,0.0,18.4,0.0,0.0,3.0,
315,0.0,0.0,0.0,0.0,40.9,0.0,2.5,0.0,18.1,0.0,0.0,3.0,
320,0.0,0.0,0.0,0.0,41.5,0.0,2.5,0.0,17.8,0.0,0.0,3.2,
325,0.0,0.0,0.0,0.0,42.1,0.0,2.5,0.0,17.6,0.0,0.0,3.2,
330,0.0,0.0,0.0,0.0,42.6,0.0,2.5,0.0,17.3,0.0,0.0,3.4,
335,0.0,0.0,0.0,0.0,43.2,0.0,2.5,0.0,17.0,0.0,0.0,3.4,
340,0.0,0.0,0.0,0.0,43.8,0.0,2.5,0.0,16.8,0.0,0.0,3.4,
345,0.0,0.0,0.0,0.0,44.3,0.0,2.5,0.0,16.5,0.0,0.0,3.5,
350,0.0,0.0,0.0,0.0,44.9,0.0,2.5,0.0,16.3,0.0,0.0,3.5,
355,0.0,0.0,0.0,0.0,45.4,0.0,2.5,0.0,16.1,0.0,0.0,3.5,
360,0.0,0.0,0.0,0.0,45.9,0.0,2.5,0.0,15.8,0.0,0.0,3.5,
365,0.0,0.0,0.0,0.0,46.0,0.0,2.5,0.0,16.0,10.2,0.0,3.5,
370,0.0,0.0,0.0,0.0,45.9,0.0,2.5,0.0,16.4,10.2,0.0,3.7,
375,0.0,0.0,0.0,0.0,45.8,0.0,2.5,0.0,16.7,10.2,0.0,3.7,
380,0.0,0.0,0.0,0.0,45.5,0.0,2.5,0.0,17.3,10.2,0.0,3.7,
385,0.0,0.0,0.0,0.0,44.9,0.0,2.5,0.0,18.1,10.2,0.0,3.8,
390,0.0,0.0,0.0,0.0,44.3,0.0,2.5,0.0,19.0,10.2,0.0,3.8,
395,0.0,0.0,0.0,0.0,43.8,0.0,2.5,0.0,19.8,10.2,0.0,3.9,
400,0.0,0.0,0.0,0.0,43.3,0.0,2.5,0.0,20.5,10.2,0.0,3.9,
405,0.0,0.0,0.0,0.0,42.8,0.0,2.6,0.0,20.5,0.0,0.0,3.9,
410,0.0,0.0,0.0,0.0,42.3,0.0,2.6,0.0,20.2,0.0,0.0,4.1,
415,0.0,0.0,0.0,0.0,41.7,0.0,2.6,0.0,20.0,0.0,0.0,4.1,
420,0.0,0.0,0.0,0.0,41.3,0.0,2.6,0.0,19.8,0.0,0.0,4.2,
425,0.0,0.0,0.0,0.0,41.0,0.0,2.6,0.0,19.6,0.0,0.0,4.2,
430,0.0,0.0,0.0,0.0,41.5,0.0,2.6,0.0,19.3,0.0,0.0,4.2,
435,0.0,0.0,0.0,0.0,42.0,0.0,2.6,0.0,19.1,0.0,0.0,4.4,
440,0.0,0.0,0.0,0.0,42.4,0.0,2.6,0.0,18.9,0.0,0.0,4.4,
445,0.0,0.0,0.0,0.0,42.8,0.0,2.6,0.0,18.7,0.0,0.0,4.4,
450,0.0,0.0,0.0,0.0,43.3,0.0,2.6,0.0,18.5,0.0,0.0,4.5,
455,0.0,0.0,0.0,0.0,43.7,0.0,2.6,0.0,18.3,0.0,0.0,4.5,
460,0.0,0.0,0.0,0.0,44.2,0.0,2.6,0.0,18.1,0.0,0.0,4.5,
465,0.0,0.0,0.0,0.0,44.6,0.0,2.6,0.0,17.9,0.0,0.0,4.7,
470,0.0,0.0,0.0,0.0,45.0,0.0,2.6,0.0,17.7,0.0,0.0,4.7,
475,0.0,0.0,0.0,0.0,45.4,0.0,2.6,0.0,17.5,0.0,0.0,4.7,
480,0.0,0.0,0.0,0.0,45.5,0.0,2.6,0.0,17.5,7.0,0.0,4.7,
485,0.0,0.0,0.0,0.0,45.5,0.0,2.6,0.0,17.8,7.0,0.0,4.9,
490,0.0,0.0,0.0,0.0,45.4,0.0,2.6,0.0,18.1,7.0,0.0,4.9,
495,0.0,0.0,0.0,0.0,44.9,0.0,2.6,0.0,18.8,7.0,0.0,4.9,
500,0.0,0.0,0.0,0.0,44.5,0.0,2.6,0.0,19.4,7.0,0.0,5.0,
505,0.0,0.0,0.0,0.0,44.0,0.0,2.6,0.0,20.0,7.0,0.0,5.0,
510,0.0,0.0,0.0,0.0,43.6,0.0,2.6,0.0,20.1,0.0,0.0,5.0,
515,0.0,0.0,0.0,0.0,43.2,0.0,2.6,0.0,19.9,0.0,0.0,5.1,
520,0.0,0.0,0.0,0.0,42.8,0.0,2.6,0.0,19.8,0.0,0.0,5.1,
525,0.0,0.0,0.0,0.0,42.4,0.0,2.6,0.0,19.6,0.0,0.0,5.1,
530,0.0,0.0,0.0,0.0,42.0,0.0,2.6,0.0,19.4,0.0,0.0,5.3,
535,0.0,0.0,0.0,0.0,42.2,0.0,2.6,0.0,19.2,0.0,0.0,5.3,
